2018 Rank,City Name,State Name,2018 Estimate,2010 Census,Change (%),2016 Land Area (sq mi),2016 Land Area (sq km),2016 Population Density (per sq mi),2016 Population Density (per sq km),Location,Mayor,Time Zone (Summer),Area Codes
262,Clovis,California,112022,95631,+17.14,24.2  ,62.7 ,4404 ,1700, ﻿36.8282°N 119.6849°W﻿ ,bob whalen [3],utc−7 (pdt),559
263,Pompano Beach,Florida,111954,99845,+12.13,24.0  ,62.2 ,4558 ,1760, ﻿26.2416°N 80.1339°W﻿ ,rex hardin,utc−4 (edt),754 954
264,Pueblo,Colorado,111750,106595,+4.84,53.6  ,138.8 ,2058 ,795, ﻿38.2699°N 104.6123°W﻿ ,nick gradisar[5],utc−6 (mdt),719
265,Elgin,Illinois,111683,108188,+3.23,37.4  ,96.9 ,2998 ,1158, ﻿42.0396°N 88.3217°W﻿ ,dave kaptain,utc−5 (central),331 847 and 224
266,Lowell,Massachusetts,111670,106519,+4.84,13.6  ,35.2 ,8129 ,3139, ﻿42.6390°N 71.3211°W﻿ ,william samaras,utc−4 (eastern),978 / 351
267,Antioch,California,111535,102372,+8.95,29.4  ,76.1 ,3772 ,1456, ﻿37.9791°N 121.7962°W﻿ ,sean wright[2],utc−7 (pdt),925
268,West Palm Beach,Florida,111398,99919,+11.49,55.1  ,142.7 ,1963 ,758, ﻿26.7464°N 80.1251°W﻿ ,keith james[2] ,utc−4 (edt),561
269,Peoria,Illinois,111388,115007,−3.15,48.2  ,124.8 ,2371 ,915, ﻿40.7515°N 89.6174°W﻿ ,jim ardis,utc−5 (cdt),309
270,Everett,Washington,111262,103019,+8.00,33.3  ,86.2 ,3275 ,1264, ﻿47.9566°N 122.1914°W﻿ ,cassie franklin,utc−7 (pdt),425
271,Ventura,California,111128,106433,+4.41,21.8  ,56.5 ,5027 ,1941, ﻿34.2678°N 119.2542°W﻿ ,neal andrews[2],utc−7 (pdt),805
272,Centennial,Colorado,110831,100377,+10.41,29.5  ,76.4 ,3727 ,1439, ﻿39.5906°N 104.8691°W﻿ ,cathy noon,utc-6 (mdt),both 303 and 720
273,Lakeland,Florida,110516,97422,+13.44,65.9  ,170.7 ,1615 ,624, ﻿28.0555°N 81.9549°W﻿ ,bill mutz,utc-4 (edt),863
274,Gresham,Oregon,110158,105594,+4.32,23.3  ,60.3 ,4786 ,1848, ﻿45.5023°N 122.4416°W﻿ ,shane bemis ,utc−7 (pacific),503 and 971
275,Richmond,California,110146,103701,+6.21,30.1  ,78.0 ,3648 ,1409, ﻿37.9523°N 122.3606°W﻿ ,nan,utc−7 (pdt),510
276,Billings,Montana,109550,104170,+5.16,43.7  ,113.2 ,2525 ,975, ﻿45.7885°N 108.5499°W﻿ ,bill cole,utc−6 (mountain),406
277,Inglewood,California,109419,109673,−0.23,9.1  ,23.6 ,12160 ,4700, ﻿33.9561°N 118.3443°W﻿ ,nan,utc−7 (pdt),310/424 213/323
